Maladie,Spécialité médicale
Réaction médicamenteuse,Allergologue
Allergie,Allergologue
Hypertension artérielle,Cardiologue
Infarctus du myocarde,Cardiologue
Psoriasis,Dermatologue
Varicelle,Dermatologue
Acné,Dermatologue
Impétigo,Dermatologue
Infection fongique (mycose),Dermatologue
Hypothyroïdie,Endocrinologue
Diabète,Endocrinologue
Hypoglycémie,Endocrinologue
Hyperthyroïdie,Endocrinologue
RGO (reflux gastro-œsophagien),Gastro-entérologue
Ulcère gastro-duodénal,Gastro-entérologue
Ictère,Gastro-entérologue
Hémorroïdes,Gastro-entérologue
Gastro-entérite,Gastro-entérologue
Infection urinaire,Gynécologue
Cholestase chronique,Hépatologue
Hépatite A,Hépatologue
Hépatite B,Hépatologue
Hépatite C,Hépatologue
Hépatite E,Hépatologue
Hépatite D,Hépatologue
Hépatite alcoolique,Hépatologue
Paludisme,Médecin interniste
Dengue,Médecin interniste
Migraine,Neurologue
Spondylose cervicale,Neurologue
Paralysie (hémorragie cérébrale / AVC),Neurologue
SIDA,Ostéopathe
Vertige positionnel paroxystique bénin (VPPB),ORL (oto-rhino-laryngologiste)
Rhume,ORL (oto-rhino-laryngologiste)
Fièvre typhoïde,Pédiatre
Varices,Phlébologue
Asthme bronchique,Pneumologue
Pneumonie,Pneumologue
Arthrose,Rhumatologue
Arthrite,Rhumatologue
Tuberculose,Tuberculose
